State,District,RMNCH,NCD,FRP,UHC_Index,UHC_Tercile,SCA,Infectious_Diseases,RMNCH_norm,NCD_norm,FRP_norm,UHC_Index_norm,SCA_norm,Infectious_Diseases_norm,UHC_District,UHC_Poorest20,UHC_Rural,UHC_ReligMin,UHC_SCST,Service_Coverage,FRP_D,UHC_Index_D,Region,UHC_Gap,SCA_FRP_Gap,Equity_Gap_Poor,Equity_Gap_Rural,Equity_Gap_SCST,Equity_Gap_ReligMin,HC_Cluster,KM_Cluster
Arunachal Pradesh,Lower Subansiri,54.35,12.78,58.52,42.35,Medium UHC,39.97,83.86,0.5288776421554033,0.2584681110772048,0.47829092920353994,0.3706375058166589,0.3667107955229269,0.8429213483146066,42.35,25.18,42.24,42.7,42.28,39.06,58.52,42.35,Northeast,57.65,-19.46,17.17,0.11,0.07,-0.35,1.0,1.0
Arunachal Pradesh,Kra Daadi,42.84,9.41,54.9,38.62,Low UHC,45.55,85.25,0.35754688895504616,0.1556301495270064,0.4282356194690265,0.28385295486272666,0.43386689132266215,0.8585393258426965,38.62,23.09,38.89,38.49,38.56,35.37,54.9,38.62,Northeast,61.38,-19.53,15.53,-0.27,0.06,0.13,1.0,1.0
Arunachal Pradesh,Anjaw,57.72,8.62,47.4,37.6,Low UHC,37.78,84.33,0.579041381363501,0.1315227342081172,0.3245298672566372,0.2601209865053513,0.34035383319292334,0.8482022471910111,37.6,22.78,37.72,39.77,37.63,35.48,47.4,37.6,Northeast,62.4,-11.92,14.82,-0.12,-0.03,-2.17,1.0,1.0
Arunachal Pradesh,Papum Pare,50.67,16.65,53.72,42.89,Medium UHC,42.43,75.47,0.47409943435546287,0.37656393042416847,0.41191924778761063,0.3832014890646812,0.3963172463593693,0.7486516853932583,42.89,26.96,42.59,43.71,44.3,40.54,53.72,42.89,Northeast,57.11,-13.18,15.93,0.3,-1.41,-0.82,1.0,1.0
Arunachal Pradesh,West Kameng,41.47,9.13,63.97,43.01,Medium UHC,63.46,95.72,0.33715391485561175,0.14708574916081787,0.5536504424778761,0.3859934853420195,0.6494162955831027,0.9761797752808987,43.01,25.08,42.71,43.36,43.18,38.94,63.97,43.01,Northeast,56.99,-25.03,17.93,0.3,-0.17,-0.35,1.0,1.0
Arunachal Pradesh,Upper Subansiri,53.67,5.98,46.28,33.06,Low UHC,29.17,91.2,0.5187555820184578,0.05096124504119623,0.3090431415929204,0.15449046067938577,0.23673125526537492,0.9253932584269662,33.06,22.95,33.06,33.04,32.86,30.4,46.28,33.06,Northeast,66.94,-15.88,10.11,0.0,0.2,0.02,1.0,1.0
Arunachal Pradesh,Tirap,45.08,9.64,51.41,42.18,Medium UHC,65.05,91.94,0.390890145876749,0.1626487641135185,0.37997787610619466,0.3666821777570962,0.6685521723432422,0.9337078651685393,42.18,33.22,40.61,41.43,42.22,40.15,51.41,42.18,Northeast,57.82,-11.26,8.96,1.57,-0.04,0.75,1.0,1.0
Arunachal Pradesh,Dibang Valley,62.13,9.12,53.46,33.48,Low UHC,14.28,97.23,0.6446859184281036,0.1467805920048825,0.40832411504424787,0.1642624476500697,0.057527981706583214,0.9931460674157304,33.48,21.57,32.2,32.592,33.59,29.78,53.46,33.48,Northeast,66.52,-23.68,11.91,1.28,-0.11,0.89,1.0,1.0
Arunachal Pradesh,Lower Dibang Valley,63.1,4.64,69.09,40.98,Low UHC,59.66,95.79,0.6591247395058053,0.010070186145865107,0.6244469026548674,0.3387622149837132,0.6036827536406306,0.9769662921348314,40.98,34.93,41.1,42.45,41.78,35.96,69.09,40.98,Northeast,59.02,-33.13,6.05,-0.12,-0.8,-1.47,3.0,0.0
Assam,Dhubri,50.72,13.37,81.64,45.37,Medium UHC,42.02,82.67,0.4748437034831795,0.2764723832773879,0.7979811946902655,0.4409027454630059,0.3913828378866289,0.8295505617977528,45.37,36.97,45.35,44.24,47.74,39.17,81.64,45.37,Northeast,54.63,-42.47,8.4,0.02,-2.37,1.13,1.0,1.0
Assam,South Salmara Mancachar,50.77,8.93,85.05,42.14,Medium UHC,42.02,82.06,0.47558797261089614,0.14098260604211169,0.845132743362832,0.36575151233131686,0.3913828378866289,0.8226966292134831,42.14,34.97,42.34,41.9,36.37,35.36,85.05,42.14,Northeast,57.86,-49.69,7.17,-0.2,5.77,0.24,1.0,1.0
Assam,Hojai,50.53,11.32,86.72,46.99,High UHC,55.46,83.31,0.4720154807978565,0.21391516631065002,0.8682245575221239,0.478594695207073,0.5531351546515826,0.8367415730337078,46.99,42.05,47.16,43.11,48.47,40.32,86.72,46.99,Northeast,53.01,-46.4,4.94,-0.17,-1.48,3.88,1.0,0.0
Assam,Karbi Anglong,38.54,13.09,74.94,42.93,Medium UHC,47.92,80.49,0.29353974397142,0.26792798291119924,0.705337389380531,0.38413215449046056,0.462390179323625,0.8050561797752808,42.93,42.86,43.02,38.27,43.79,37.35,74.94,42.93,Northeast,57.07,-37.59,0.07,-0.09,-0.86,4.66,1.0,1.0
Assam,Morigaon,55.94,5.8,89.39,40.86,Low UHC,50.54,77.78,0.5525454004167907,0.04546841623436071,0.9051438053097347,0.335970218706375,0.4939222529786978,0.7746067415730337,40.86,38.48,40.53,40.55,40.82,33.6,89.39,40.86,Northeast,59.14,-55.79,2.38,0.33,0.04,0.31,1.0,0.0
Assam,Majuli,45.81,5.98,82.2,38.63,Low UHC,46.74,81.69,0.4017564751414111,0.05096124504119623,0.8057245575221241,0.2840856212191717,0.44818871103622576,0.8185393258426965,38.63,31.09,38.7,36.968,37.44,31.98,82.2,38.63,Northeast,61.37,-50.22,7.54,-0.07,1.19,1.66,1.0,1.0
Assam,Kamrup Metropolitan,41.06,6.65,80.42,38.45,Low UHC,49.23,77.67,0.3310509080083358,0.07140677448886179,0.781111725663717,0.2798976268031642,0.4781562161511613,0.7733707865168539,38.45,33.37,29.92,36.92,39.75,31.97,80.42,38.45,Northeast,61.55,-48.45,5.08,8.53,-1.3,1.53,1.0,1.0
